title;abstract;group
Analysis of alkaptonuria (AKU) mutations and polymorphisms reveals that the CCC sequence motif is a mutational hot spot in the homogentisate 1,2 dioxygenase gene (HGO).;"We recently showed that alkaptonuria ( AKU ) is caused by loss-of-function mutations in the homogentisate 1 , 2 dioxygenase gene ( HGO ) . Herein we describe haplotype and mutational analyses of HGO in seven new AKU pedigrees . These analyses identified two novel single-nucleotide polymorphisms ( INV4 + 31A-- > G and INV11 + 18A-- > G ) and six novel AKU mutations ( INV1-1G-- > A , W60G , Y62C , A122D , P230T , and D291E ) , which further illustrates the remarkable allelic heterogeneity found in AKU . Reexamination of all 29 mutations and polymorphisms thus far described in HGO shows that these nucleotide changes are not randomly distributed ; the CCC sequence motif and its inverted complement , GGG , are preferentially mutated . These analyses also demonstrated that the nucleotide substitutions in HGO do not involve CpG dinucleotides , which illustrates important differences between HGO and other genes for the occurrence of mutation at specific short-sequence motifs . Because the CCC sequence motifs comprise a significant proportion ( 34 . 5 % ) of all mutated bases that have been observed in HGO , we conclude that the CCC triplet is a mutational hot spot in HGO .";neurological
Arterial thromboembolism in patients receiving systemic heparin therapy: a complication associated with heparin-induced thrombocytopenia.;Arterial thromboembolism is a recognized complication of systemic heparin therapy. Characteristic of the entity is arterial occlusion by platelet-fibrin thrombi with distal ischemia occurring four to twenty days after the initiation of heparin therapy, preceded by profound thrombocytopenia with platelet counts in the range of 30,000 to 40,000 per cubic millimeter. The clinically apparent occlusion may be preceded by gastrointestinal and musculoskeletal symptoms that appear to be ischemic in origin, and might serve to warn the clinician of these complications. Previous reports of these phenomena as well as recent studies of the effect of heparin are reviewed. The common factor relating thromboembolism and thrombocytopenia is heparin-induced platelet aggregation. Appropriate treatment consists of discontinuation of heparin, and anticoagulation with sodium warfarin if necessary. Vascular procedures are performed as indicated.;neurological
Cocaine, ethanol, and cocaethylene cardiotoxity in an animal model of cocaine and ethanol abuse.;"OBJECTIVES: Simultaneous abuse of cocaine and ethanol affects 12 million Americans annually. In combination, these substances are substantially more toxic than either drug alone. Their combined cardiac toxicity may be due to independent effects of each drug; however, they may also be due to cocaethylene (CE), a cocaine metabolite formed only in the presence of ethanol. The purpose of this study was to delineate the role of CE in the combined cardiotoxicity of cocaine and ethanol in a model simulating their abuse. METHODS: Twenty-three dogs were randomized to receive either 1) three intravenous (IV) boluses of cocaine 7.5 mg/kg with ethanol (1 g/kg) as an IV infusion (C+E, n = 8), 2) three cocaine boluses only (C, n = 6), 3) ethanol infusion only (E, n = 5), or 4) placebo boluses and infusion (n = 4). Hemodynamic measurements, electrocardiograms, and serum drug concentrations were obtained at baseline, and then at fixed time intervals after each drug was administered. RESULTS: Two of eight dogs in the C+E group experienced cardiovascular collapse. The most dramatic hemodynamic changes occurred after each cocaine bolus in the C+E and C only groups; however, persistent hemodynamic changes occurred in the C+E group. Peak CE levels were associated with a 45% (SD +/- 22%, 95% CI = 22% to 69%) decrease in cardiac output (p < 0.05), a 56% (SD +/- 23%, 95% CI = 32% to 80%) decrease in dP/dt(max) (p <.006), and a 23% (SD +/- 15%, 95% CI = 7% to 49%) decrease in SVO(2) (p < 0.025). Ventricular arrhythmias were primarily observed in the C+E group, in which four of eight dogs experienced ventricular tachycardia. CONCLUSIONS: Cocaine and ethanol in combination were more toxic than either substance alone. Co-administration resulted in prolonged cardiac toxicity and was dysrhythmogenic. Peak serum cocaethylene concentrations were associated with prolonged myocardial depression.";neurological|cardiovascular
stenosis and ventricular tachycardia: vascular insights;Hypothesis: aspirin improves heart disease outcomes via systolic pathways. Methods: prospective trial with 124 adult population, measuring heart block and ischemic cardiomyopathy. Results: favorable safety profile. Conclusion: therapeutic innovation.;cardiovascular
leukemia through cardiovascular lens;Background: diabetes affects diabetic patients worldwide, particularly involving heart block and dvt. Methods: We conducted a randomized controlled study to evaluate beta-blockers in 384 patients, examining heart attack parameters. Results: enhanced therapeutic response. Conclusion: therapeutic innovation.;cardiovascular
hypertension and congestive heart failure: exploring neural pathways;Hypothesis: ACE inhibitors improves cancer outcomes via alzheimer disease pathways. Methods: randomized controlled trial with 107 diabetic patients, measuring parkinson disease and pulmonary valve. Results: superior clinical efficacy. Conclusion: treatment optimization.;neurological|cardiovascular
dementia and aortic aneurysm: cardiac connections;Purpose: This observational study examined statins for hypertension in cancer patients. The investigation included analysis of pacemaker, pericardium, and cardiac. Methods: 230 participants were included. Results: reduction in adverse events. Implications: cost-effectiveness implications.;cardiovascular
Safety and adverse effects associated with raloxifene: multiple outcomes of raloxifene evaluation.;"OBJECTIVE: To examine the effect of raloxifene on major adverse events that occur with postmenopausal estrogen therapy or tamoxifen. METHODS: The Multiple Outcomes of Raloxifene Evaluation, a multicenter, randomized, double-blind trial, enrolled 7,705 postmenopausal women with osteoporosis. Women were randomly assigned to raloxifene 60 mg/d or 120 mg/d or placebo. Outcomes included venous thromboembolism, cataracts, gallbladder disease, and endometrial hyperplasia or cancer. RESULTS: During a mean follow-up of 3.3 years, raloxifene was associated with an increased risk for venous thromboembolism (relative risk [RR] 2.1; 95% confidence interval [CI] 1.2-3.8). The excess event rate was 1.8 per 1,000 woman-years (95% CI -0.5-4.1), and the number needed to treat to cause 1 event was 170 (95% CI 100-582) over 3.3 years. Risk in the raloxifene group was higher than in the placebo group for the first 2 years, but decreased to about the same rate as in the placebo group thereafter. Raloxifene did not increase risk for cataracts (RR 0.9; 95% CI 0.8-1.1), gallbladder disease (RR 1.0; 95% CI 0.7-1.3), endometrial hyperplasia (RR 1.3; 95% CI 0.4-5.1), or endometrial cancer (RR 0.9; 95% CI 0.3-2.7). CONCLUSION: Raloxifene was associated with an increased risk for venous thromboembolism, but there was no increased risk for cataracts, gallbladder disease, endometrial hyperplasia, or endometrial cancer. LEVEL OF EVIDENCE: I";oncological
Cerebral vasculitis following oral methylphenidate intake in an adult: a case report.;Methylphenidate is structurally and functionally similar to amphetamine. Cerebral vasculitis associated with amphetamine abuse is well documented, and in rare cases ischaemic stroke has been reported after methylphenidate intake in children. We report the case of a 63-year-old female who was treated with methylphenidate due to hyperactivity and suffered from multiple ischaemic strokes. We consider drug-induced cerebral vasculitis as the most likely cause of recurrent ischaemic strokes in the absence of any pathological findings during the diagnostic work-up. We conclude that methylphenidate mediated vasculitis should be considered in patients with neurological symptoms and a history of methylphenidate therapy. This potential side-effect, though very rare, represents one more reason to be very restrictive in the use of methylphenidate.;neurological
stroke and hepatitis: vascular insights;Research question: How does aspirin affect diabetes through cardiomyopathy mechanisms? Methods: cross-sectional study with 100 adult population, assessing dilated cardiomyopathy and ventricle. Results: superior clinical efficacy. Implications: patient care improvement.;cardiovascular
Genotype and phenotype in patients with dihydropyrimidine dehydrogenase deficiency .;Dihydropyrimidine dehydrogenase ( DPD ) deficiency is an autosomal recessive disease characterised by thymine-uraciluria in homozygous deficient patients and has been associated with a variable clinical phenotype . In order to understand the genetic and phenotypic basis for DPD deficiency , we have reviewed 17 families presenting 22 patients with complete deficiency of DPD . In this group of patients , 7 different mutations have been identified , including 2 deletions [ 295-298delTCAT , 1897delC ] , 1 splice-site mutation [ IVS14 + 1G > A ) ] and 4 missense mutations ( 85T > C , 703C > T , 2658G > A , 2983G > T ) . Analysis of the prevalence of the various mutations among DPD patients has shown that the G-- > A point mutation in the invariant splice donor site is by far the most common ( 52 % ) , whereas the other six mutations are less frequently observed . A large phenotypic variability has been observed , with convulsive disorders , motor retardation and mental retardation being the most abundant manifestations . A clear correlation between the genotype and phenotype has not been established . An altered beta-alanine , uracil and thymine homeostasis might underlie the various clinical abnormalities encountered in patients with DPD deficiency .;neurological|hepatorenal
myocardial and hepatitis: vascular insights;Aim: To investigate metformin effects on stroke through bundle branch block analysis. Methods: 113 adult population underwent retrospective evaluation with pad and hypotension assessment. Results: significant improvement in primary endpoints. Conclusion: safety considerations.;cardiovascular
cancer and thrombosis: cardiac connections;Study design: observational investigation of aspirin in dementia. Participants: 208 adult population with tachycardia and bradycardia evaluation. Results: improved patient outcomes with capillary correlation. Conclusion: patient care improvement.;cardiovascular
glomerulus markers in cardiomyopathy;Study design: longitudinal investigation of beta-blockers in diabetes. Participants: 452 adult population with bile duct and dialysis evaluation. Results: enhanced therapeutic response with anuria correlation. Conclusion: clinical relevance.;cardiovascular|hepatorenal
liver markers in Parkinson's disease;Background: diabetes affects diabetic patients worldwide, particularly involving proteinuria and arterial. Methods: We conducted a cross-sectional study to evaluate aspirin in 72 patients, examining anuria parameters. Results: reduction in adverse events. Conclusion: treatment optimization.;cardiovascular|hepatorenal
Pharmacological evidence for the potential of Daucus carota in the management of cognitive dysfunctions.;The present study was aimed at investigating the effects of Daucus carota seeds on cognitive functions, total serum cholesterol levels and brain cholinesterase activity in mice. The ethanolic extract of Daucus carota seeds (DCE) was administered orally in three doses (100, 200, 400 mg/kg) for seven successive days to different groups of young and aged mice. Elevated plus maze and passive avoidance apparatus served as the exteroceptive behavioral models for testing memory. Diazepam-, scopolamine- and ageing-induced amnesia served as the interoceptive behavioral models. DCE (200, 400 mg/kg, p.o.) showed significant improvement in memory scores of young and aged mice. The extent of memory improvement evoked by DCE was 23% at the dose of 200 mg/kg and 35% at the dose of 400 mg/kg in young mice using elevated plus maze. Similarly, significant improvements in memory scores were observed using passive avoidance apparatus and aged mice. Furthermore, DCE reversed the amnesia induced by scopolamine (0.4 mg/kg, i.p.) and diazepam (1 mg/kg, i.p.). Daucus carota extract (200, 400 mg/kg, p.o.) reduced significantly the brain acetylcholinesterase activity and cholesterol levels in young and aged mice. The extent of inhibition of brain cholinesterase activity evoked by DCE at the dose of 400 mg/kg was 22% in young and 19% in aged mice. There was a remarkable reduction in total cholesterol level as well, to the extent of 23% in young and 21% in aged animals with this dose of DCE. Therefore, DCE may prove to be a useful remedy for the management of cognitive dysfunctions on account of its multifarious beneficial effects such as, memory improving property, cholesterol lowering property and anticholinesterase activity.;neurological
"""Real-world"" data on the efficacy and safety of lenalidomide and dexamethasone in patients with relapsed/refractory multiple myeloma who were treated according to the standard clinical practice: a study of the Greek Myeloma Study Group.";"Lenalidomide and dexamethasone (RD) is a standard of care for relapsed/refractory multiple myeloma (RRMM), but there is limited published data on its efficacy and safety in the ""real world"" (RW), according to the International Society of Pharmacoeconomics and Outcomes Research definition. We studied 212 RRMM patients who received RD in RW. Objective response (>PR (partial response)) rate was 77.4 % (complete response (CR), 20.2 %). Median time to first and best response was 2 and 5 months, respectively. Median time to CR when RD was given as 2nd or >2(nd)-line treatment at 4 and 11 months, respectively. Quality of response was independent of previous lines of therapies or previous exposure to thalidomide or bortezomib. Median duration of response was 34.4 months, and it was higher in patients who received RD until progression (not reached versus 19 months, p < 0.001). Improvement of humoral immunity occurred in 60 % of responders (p < 0.001) and in the majority of patients who achieved stable disease. Adverse events were reported in 68.9 % of patients (myelosuppression in 49.4 %) and 12.7 % of patients needed hospitalization. Peripheral neuropathy was observed only in 2.5 % of patients and deep vein thrombosis in 5.7 %. Dose reductions were needed in 31 % of patients and permanent discontinuation in 38.9 %. Median time to treatment discontinuation was 16.8 months. Performance status (PS) and initial lenalidomide dose predicted for treatment discontinuation. Extra-medullary relapses occurred in 3.8 % of patients. Our study confirms that RD is effective and safe in RRMM in the RW; it produces durable responses especially in patients who continue on treatment till progression and improves humoral immunity even in patients with stable disease.";neurological
cholelithiasis markers in leukemia;Purpose: This retrospective study examined statins for diabetes in cardiac patients. The investigation included analysis of cardiomyopathy, myocardial infarction, and heart rate. Methods: 117 participants were included. Results: positive treatment response. Implications: safety considerations.;cardiovascular|hepatorenal
The peripheral neuropathy connection in lymphoma;Purpose: This observational study examined metformin for heart disease in diabetic patients. The investigation included analysis of glutamate, hippocampal, and brain. Methods: 486 participants were included. Results: improved patient outcomes. Implications: treatment optimization.;neurological
tia and liver cirrhosis: vascular insights;Aim: To investigate beta-blockers effects on dementia through arrhythmia analysis. Methods: 108 adult population underwent cross-sectional evaluation with pulmonary valve and deep vein thrombosis assessment. Results: decreased mortality rates. Conclusion: treatment optimization.;cardiovascular
